joints[0]_x, joints[0]_y, joints[1]_x, joints[1]_y, joints[2]_x, joints[2]_y, joints[3]_x, joints[3]_y, joints[4]_x, joints[4]_y, joints[5]_x, joints[5]_y, joints[6]_x, joints[6]_y, joints[7]_x, joints[7]_y, joints[8]_x, joints[8]_y, joints[11]_x, joints[11]_y,class
0.597222222,0.157608696,0.601851852,0.304347826,0.532407407,0.304347826,0.50462963,0.451086957,0.486111111,0.581521739,0.675925926,0.304347826,0.703703704,0.47826087,0.708333333,0.619565217,0.546296296,0.614130435,0.643518519,0.635869565,0
0.597222222,0.157608696,0.601851852,0.304347826,0.532407407,0.304347826,0.50462963,0.451086957,0.486111111,0.581521739,0.675925926,0.304347826,0.703703704,0.47826087,0.708333333,0.619565217,0.546296296,0.614130435,0.643518519,0.635869565,0
0.583333333,0.168478261,0.597222222,0.309782609,0.523148148,0.309782609,0.50462963,0.451086957,0.476851852,0.581521739,0.666666667,0.309782609,0.689814815,0.483695652,0.699074074,0.619565217,0.537037037,0.635869565,0.638888889,0.663043478,0
0.569444444,0.184782609,0.583333333,0.320652174,0.518518519,0.320652174,0.49537037,0.472826087,0.476851852,0.581521739,0.652777778,0.315217391,0.680555556,0.483695652,0.685185185,0.614130435,0.537037037,0.619565217,0.62962963,0.630434783,0
0.569444444,0.184782609,0.583333333,0.320652174,0.518518519,0.320652174,0.49537037,0.472826087,0.476851852,0.581521739,0.652777778,0.315217391,0.680555556,0.483695652,0.685185185,0.614130435,0.537037037,0.619565217,0.62962963,0.630434783,0
0.560185185,0.195652174,0.574074074,0.326086957,0.509259259,0.326086957,0.49537037,0.461956522,0.472222222,0.586956522,0.638888889,0.320652174,0.666666667,0.483695652,0.671296296,0.608695652,0.532407407,0.614130435,0.625,0.625,0
0.541666667,0.211956522,0.564814815,0.326086957,0.5,0.331521739,0.486111111,0.467391304,0.472222222,0.586956522,0.625,0.326086957,0.652777778,0.483695652,0.662037037,0.608695652,0.527777778,0.619565217,0.611111111,0.619565217,0
0.541666667,0.211956522,0.564814815,0.326086957,0.5,0.331521739,0.486111111,0.467391304,0.472222222,0.586956522,0.625,0.326086957,0.652777778,0.483695652,0.662037037,0.608695652,0.527777778,0.619565217,0.611111111,0.619565217,0
0.537037037,0.217391304,0.555555556,0.331521739,0.49537037,0.342391304,0.481481481,0.467391304,0.467592593,0.592391304,0.62037037,0.326086957,0.648148148,0.472826087,0.648148148,0.60326087,0.527777778,0.597826087,0.601851852,0.597826087,0
0.537037037,0.217391304,0.555555556,0.331521739,0.49537037,0.342391304,0.481481481,0.467391304,0.467592593,0.592391304,0.62037037,0.326086957,0.648148148,0.472826087,0.648148148,0.60326087,0.527777778,0.597826087,0.601851852,0.597826087,0
0.532407407,0.217391304,0.555555556,0.331521739,0.490740741,0.342391304,0.481481481,0.472826087,0.467592593,0.592391304,0.615740741,0.326086957,0.643518519,0.461956522,0.638888889,0.586956522,0.523148148,0.60326087,0.597222222,0.597826087,0
0.532407407,0.217391304,0.550925926,0.326086957,0.490740741,0.336956522,0.476851852,0.472826087,0.467592593,0.586956522,0.611111111,0.320652174,0.638888889,0.461956522,0.634259259,0.581521739,0.518518519,0.597826087,0.597222222,0.592391304,0
0.532407407,0.217391304,0.550925926,0.326086957,0.490740741,0.336956522,0.476851852,0.472826087,0.467592593,0.586956522,0.611111111,0.320652174,0.638888889,0.461956522,0.634259259,0.581521739,0.518518519,0.597826087,0.597222222,0.592391304,0
0.527777778,0.217391304,0.550925926,0.331521739,0.486111111,0.342391304,0.476851852,0.467391304,0.467592593,0.576086957,0.611111111,0.320652174,0.638888889,0.451086957,0.634259259,0.570652174,0.523148148,0.576086957,0.597222222,0.581521739,0
0.527777778,0.217391304,0.550925926,0.331521739,0.490740741,0.342391304,0.476851852,0.472826087,0.467592593,0.581521739,0.611111111,0.320652174,0.638888889,0.451086957,0.634259259,0.565217391,0.523148148,0.576086957,0.597222222,0.576086957,0
0.527777778,0.217391304,0.550925926,0.331521739,0.490740741,0.342391304,0.476851852,0.472826087,0.467592593,0.581521739,0.611111111,0.320652174,0.638888889,0.451086957,0.634259259,0.565217391,0.523148148,0.576086957,0.597222222,0.576086957,0
0.532407407,0.217391304,0.550925926,0.331521739,0.49537037,0.342391304,0.476851852,0.467391304,0.467592593,0.581521739,0.611111111,0.320652174,0.638888889,0.445652174,0.634259259,0.565217391,0.523148148,0.581521739,0.601851852,0.581521739,0
0.532407407,0.222826087,0.555555556,0.331521739,0.49537037,0.342391304,0.481481481,0.467391304,0.467592593,0.576086957,0.611111111,0.320652174,0.638888889,0.445652174,0.638888889,0.565217391,0.523148148,0.592391304,0.597222222,0.586956522,0
0.532407407,0.222826087,0.555555556,0.331521739,0.49537037,0.342391304,0.481481481,0.467391304,0.467592593,0.576086957,0.611111111,0.320652174,0.638888889,0.445652174,0.638888889,0.565217391,0.523148148,0.592391304,0.597222222,0.586956522,0
0.532407407,0.222826087,0.555555556,0.331521739,0.5,0.342391304,0.486111111,0.467391304,0.472222222,0.576086957,0.615740741,0.320652174,0.643518519,0.451086957,0.643518519,0.570652174,0.523148148,0.597826087,0.601851852,0.592391304,0
0.541666667,0.22826087,0.560185185,0.331521739,0.50462963,0.342391304,0.49537037,0.467391304,0.476851852,0.576086957,0.615740741,0.320652174,0.643518519,0.451086957,0.643518519,0.570652174,0.527777778,0.586956522,0.601851852,0.586956522,0
